all;0.491875;0.508125;0.0

0;0.46551724137931033;0.5344827586206896;0.0

1;0.9444444444444444;0.05555555555555555;0.0

all;0.0024;0.0022;
all;0.0072;0.0068;
all;0.0108;0.0125;
all;0.0153;0.0162;
all;0.0183;0.0188;
all;0.022;0.0266;
all;0.0299;0.0419;
all;0.061;0.0626;
all;0.1247;0.1513;
all;0.1362;0.259;
0;0.0024;0.0022;
0;0.0072;0.0068;
0;0.0107;0.0116;
0;0.0151;0.0153;
0;0.0182;0.018;
0;0.0214;0.0249;
0;0.0281;0.0364;
0;0.0444;0.0568;
0;0.1249;0.1248;
0;0.1361;0.1584;
1;0.0012;0.0017;
1;0.0039;0.0337;
1;0.0141;0.259;
1;0.0175;0.2751;
1;0.0475;1.8942;
1;0.0576;1.9366;
1;0.0915;4.475;
1;0.1112;4.8347;
1;0.1218;5.0;
1;0.1266;5.0;
