======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              30 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;  bisim-up;bisim-up-cached;  congr-up;congr-up-cached;      '<=';
     A0080;     A0089;    0.0311;    0.1976;    0.0971;    0.1341;    0.0929;         0;        ok;
     A0082;     A0053;    0.0146;    0.0236;    0.0235;    0.0359;    0.0326;         0;        ok;
     A0082;     A0054;    0.0236;    0.0400;    0.0357;    0.0348;    0.0309;         0;        ok;
     A0082;     A0055;    0.0234;    0.0292;    0.0340;    0.0355;    0.0300;         0;        ok;
     A0082;     A0056;    0.0224;    0.0269;    0.0358;    0.0394;    0.0320;         0;        ok;
     A0082;     A0057;    0.0223;    0.0386;    0.0380;    0.0346;    0.0246;         0;        ok;
     A0082;     A0058;    0.0231;    0.0406;    0.0368;    0.0366;    0.0252;         0;        ok;
     A0082;     A0059;    0.0232;    0.0360;    0.0370;    0.0349;    0.0368;         0;        ok;
     A0082;     A0060;    0.0246;    0.0366;    0.0355;    0.0276;    0.0365;         0;        ok;
     A0082;     A0062;    0.0157;    0.0390;    0.0243;    0.0380;    0.0296;         0;        ok;
     A0082;     A0063;    0.0284;    0.2146;    0.0892;    0.1418;    0.0815;         0;        ok;
     A0082;     A0064;    0.0274;    0.2175;    0.0947;    0.1308;    0.0797;         0;        ok;
     A0082;     A0065;    0.0279;    0.2073;    0.0928;    0.1378;    0.0779;         0;        ok;
     A0082;     A0070;    0.0185;    0.2340;    0.1007;    0.1513;    0.0873;         0;        ok;
     A0082;     A0080;    0.0233;    3.3645;    0.5801;    1.4537;    0.4785;         0;        ok;
     A0082;     A0082;    0.5005;         -;   24.7228;   19.2141;    1.8454;         1;        ok;
     A0082;     A0083;    0.3484;         -;   25.1775;   20.1034;    1.8865;         1;        ok;
     A0082;     A0086;    0.0334;    0.3769;    0.2096;    0.2574;    0.1334;         0;        ok;
     A0082;     A0087;    0.0244;    0.2201;    0.1045;    0.1294;    0.0809;         0;        ok;
     A0082;     A0088;    0.0363;    0.2123;    0.1113;    0.1223;    0.0874;         0;        ok;
     A0082;     A0089;    0.0377;    0.2409;    0.1205;    0.1534;    0.0823;         0;        ok;
     A0083;     A0053;    0.0202;    0.0233;    0.0229;    0.0251;    0.0254;         0;        ok;
     A0083;     A0054;    0.0146;    0.0264;    0.0376;    0.0406;    0.0302;         0;        ok;
     A0083;     A0055;    0.0232;    0.0391;    0.0284;    0.0340;    0.0350;         0;        ok;
     A0083;     A0056;    0.0223;    0.0260;    0.0323;    0.0259;    0.0289;         0;        ok;
     A0083;     A0057;    0.0234;    0.0373;    0.0385;    0.0413;    0.0237;         0;        ok;
     A0083;     A0058;    0.0241;    0.0266;    0.0296;    0.0376;    0.0238;         0;        ok;
     A0083;     A0059;    0.0152;    0.0423;    0.0290;    0.0415;    0.0267;         0;        ok;
     A0083;     A0060;    0.0179;    0.0398;    0.0360;    0.0381;    0.0359;         0;        ok;
     A0083;     A0062;    0.0179;    0.0433;    0.0311;    0.0303;    0.0381;         0;        ok;
     A0083;     A0063;    0.0261;    0.2356;    0.1171;    0.1676;    0.1162;         0;        ok;
     A0083;     A0064;    0.0301;    0.2493;    0.1276;    0.1411;    0.0822;         0;        ok;
     A0083;     A0065;    0.0309;    0.2221;    0.1067;    0.1346;    0.0884;         0;        ok;
     A0083;     A0070;    0.0223;    0.2272;    0.1024;    0.1518;    0.0880;         0;        ok;
     A0083;     A0080;    0.0331;    3.3613;    0.5947;    1.4608;    0.4579;         0;        ok;
     A0083;     A0082;    0.5041;         -;   24.6944;   19.6553;    2.0240;         1;        ok;
     A0083;     A0083;    0.4960;         -;   24.5609;   19.1907;    2.0480;         1;        ok;
     A0083;     A0086;    0.0481;    0.3859;    0.1820;    0.2237;    0.1270;         0;        ok;
     A0083;     A0087;    0.0371;    0.2204;    0.1187;    0.1254;    0.0792;         0;        ok;
     A0083;     A0088;    0.0386;    0.2142;    0.1033;    0.1322;    0.0905;         0;        ok;
     A0083;     A0089;    0.0241;    0.2209;    0.1089;    0.1275;    0.0929;         0;        ok;
     A0086;     A0053;    0.0357;    0.0553;    0.0531;    0.0481;    0.0434;         0;        ok;
     A0086;     A0054;    0.0377;    0.0592;    0.0422;    0.0611;    0.0526;         0;        ok;
     A0086;     A0055;    0.0300;    0.0563;    0.0555;    0.0455;    0.0393;         0;        ok;
     A0086;     A0056;    0.0226;    0.0418;    0.0543;    0.0563;    0.0383;         0;        ok;
     A0086;     A0057;    0.0381;    0.0466;    0.0542;    0.0522;    0.0426;         0;        ok;
     A0086;     A0058;    0.0242;    0.0590;    0.0560;    0.0538;    0.0428;         0;        ok;
     A0086;     A0059;    0.0297;    0.0553;    0.0436;    0.0474;    0.0505;         0;        ok;
     A0086;     A0060;    0.0326;    0.0652;    0.0524;    0.0452;    0.0597;         0;        ok;
     A0086;     A0062;    0.0246;    0.0603;    0.0562;    0.0476;    0.0425;         0;        ok;
     A0086;     A0063;    0.0362;    0.3560;    0.1677;    0.1930;    0.1121;         0;        ok;
     A0086;     A0064;    0.0424;    0.3345;    0.1558;    0.2067;    0.1108;         0;        ok;
     A0086;     A0065;    0.0426;    0.3483;    0.1523;    0.2076;    0.1292;         0;        ok;
     A0086;     A0070;    0.0303;    0.3489;    0.1519;    0.2053;    0.1301;         0;        ok;
     A0086;     A0080;    0.0424;    0.3720;    0.2011;    0.2232;    0.1583;         0;        ok;
     A0086;     A0082;    0.0313;    0.4047;    0.1672;    0.2327;    0.1235;         0;        ok;
     A0086;     A0083;    0.0374;    0.3823;    0.1759;    0.2273;    0.1361;         0;        ok;
     A0086;     A0086;    0.6020;         -;         -;         -;    3.6141;         1;        ok;
     A0086;     A0087;    0.0415;    0.3844;    0.2350;    0.2694;    0.1311;         0;        ok;
     A0086;     A0088;    0.0555;    0.3854;    0.1892;    0.2145;    0.1445;         0;        ok;
     A0086;     A0089;    0.0371;    0.3611;    0.1794;    0.1991;    0.1280;         0;        ok;
     A0087;     A0053;    0.0446;    0.0319;    0.0338;    0.0305;    0.0442;         0;        ok;
     A0087;     A0054;    0.0508;    0.0492;    0.0311;    0.0504;    0.0470;         0;        ok;
     A0087;     A0055;    0.0490;    0.0420;    0.0564;    0.0507;    0.0425;         0;        ok;
     A0087;     A0056;    0.0566;    0.0427;    0.0460;    0.0515;    0.0594;         0;        ok;
     A0087;     A0057;    0.0469;    0.0397;    0.0332;    0.0372;    0.0329;         0;        ok;
     A0087;     A0058;    0.0517;    0.0316;    0.0430;    0.0480;    0.0450;         0;        ok;
     A0087;     A0059;    0.0595;    0.0512;    0.0492;    0.0371;    0.0473;         0;        ok;
     A0087;     A0060;    0.0502;    0.0345;    0.0463;    0.0499;    0.0481;         0;        ok;
     A0087;     A0062;    0.0535;    0.0415;    0.0389;    0.0401;    0.0507;         0;        ok;
     A0087;     A0063;    0.0941;    0.1543;    0.0726;    0.0884;    0.0830;         0;        ok;
     A0087;     A0064;    0.1066;    0.1581;    0.0729;    0.1118;    0.0901;         0;        ok;
     A0087;     A0065;    0.0865;    0.1262;    0.0977;    0.1151;    0.0608;         0;        ok;
     A0087;     A0070;    0.0813;    0.1691;    0.1019;    0.0856;    0.0562;         0;        ok;
     A0087;     A0080;    0.0812;    0.2314;    0.0949;    0.1117;    0.1069;         0;        ok;
     A0087;     A0082;    0.4427;    0.2437;    0.1106;    0.1560;    0.0851;         0;        ok;
     A0087;     A0083;    0.4948;    0.2356;    0.1517;    0.1682;    0.0963;         0;        ok;
     A0087;     A0086;    0.1159;    0.3695;    0.2206;    0.2598;    0.1303;         0;        ok;
     A0087;     A0087;    1.5270;         -;         -;    4.6158;    0.8015;         1;        ok;
     A0087;     A0088;    1.3494;         -;         -;    4.8622;    0.8470;         1;        ok;
     A0087;     A0089;    0.1557;    0.4792;    0.2032;    0.4026;    0.4477;         0;        ok;
     A0088;     A0053;    0.0303;    0.0296;    0.0387;    0.0294;    0.0279;         0;        ok;
     A0088;     A0054;    0.0322;    0.0308;    0.0284;    0.0442;    0.0287;         0;        ok;
     A0088;     A0055;    0.0314;    0.0304;    0.0279;    0.0418;    0.0276;         0;        ok;
     A0088;     A0056;    0.0321;    0.0326;    0.0286;    0.0423;    0.0285;         0;        ok;
     A0088;     A0057;    0.0226;    0.0464;    0.0299;    0.0466;    0.0303;         0;        ok;
     A0088;     A0058;    0.0223;    0.0330;    0.0452;    0.0324;    0.0448;         0;        ok;
     A0088;     A0059;    0.0215;    0.0334;    0.0422;    0.0448;    0.0308;         0;        ok;
     A0088;     A0060;    0.0337;    0.0444;    0.0291;    0.0384;    0.0296;         0;        ok;
     A0088;     A0062;    0.0337;    0.0404;    0.0375;    0.0355;    0.0406;         0;        ok;
     A0088;     A0063;    0.0279;    0.1250;    0.0661;    0.1043;    0.0782;         0;        ok;
     A0088;     A0064;    0.0270;    0.1392;    0.0836;    0.0802;    0.0531;         0;        ok;
     A0088;     A0065;    0.0411;    0.1211;    0.0799;    0.0790;    0.0527;         0;        ok;
     A0088;     A0070;    0.0276;    0.1394;    0.0727;    0.1012;    0.0714;         0;        ok;
     A0088;     A0080;    0.0435;    0.2057;    0.0955;    0.1253;    0.0868;         0;        ok;
     A0088;     A0082;    0.3871;    0.2385;    0.0996;    0.1480;    0.0729;         0;        ok;
     A0088;     A0083;    0.3868;    0.2080;    0.1437;    0.1198;    0.1163;         0;        ok;
     A0088;     A0086;    0.0570;    0.3706;    0.1653;    0.1897;    0.1159;         0;        ok;
     A0088;     A0087;    1.0560;         -;         -;    4.7801;    0.8065;         1;        ok;
     A0088;     A0088;    1.1797;         -;         -;    4.5121;    0.8225;         1;        ok;
     A0088;     A0089;    0.0343;    0.4582;    0.1673;    0.3665;    0.4290;         0;        ok;
     A0089;     A0053;    0.0214;    0.0460;    0.0451;    0.0322;    0.0309;         0;        ok;
     A0089;     A0054;    0.0183;    0.0456;    0.0281;    0.0314;    0.0423;         0;        ok;
     A0089;     A0055;    0.0280;    0.0400;    0.0397;    0.0298;    0.0393;         0;        ok;
     A0089;     A0056;    0.0279;    0.0305;    0.0283;    0.0419;    0.0280;         0;        ok;
     A0089;     A0057;    0.0185;    0.0446;    0.0421;    0.0306;    0.0281;         0;        ok;
     A0089;     A0058;    0.0185;    0.0449;    0.0289;    0.0437;    0.0287;         0;        ok;
     A0089;     A0059;    0.0294;    0.0425;    0.0285;    0.0311;    0.0285;         0;        ok;
     A0089;     A0060;    0.0282;    0.0470;    0.0458;    0.0402;    0.0283;         0;        ok;
     A0089;     A0062;    0.0299;    0.0430;    0.0290;    0.0312;    0.0288;         0;        ok;
     A0089;     A0063;    0.0348;    0.1208;    0.0647;    0.0899;    0.0528;         0;        ok;
     A0089;     A0064;    0.0339;    0.1200;    0.0752;    0.0805;    0.0529;         0;        ok;
     A0089;     A0065;    0.0224;    0.1188;    0.0729;    0.0787;    0.0620;         0;        ok;
     A0089;     A0070;    0.0229;    0.1306;    0.0710;    0.0995;    0.0711;         0;        ok;
     A0089;     A0080;    0.0240;    0.1958;    0.0947;    0.1215;    0.0800;         0;        ok;
     A0089;     A0082;    0.3964;    0.2060;    0.1304;    0.1504;    0.0746;         0;        ok;
     A0089;     A0083;    0.4267;    0.2301;    0.0988;    0.1163;    0.0729;         0;        ok;
     A0089;     A0086;    0.4603;    0.3499;    0.1593;    0.1837;    0.1706;         0;        ok;
     A0089;     A0087;    0.5929;    3.0957;    0.7666;    1.1020;    0.6386;         0;        ok;
     A0089;     A0088;    0.4717;    3.1269;    0.7009;    1.2366;    0.4203;         0;        ok;
     A0089;     A0089;    0.9142;         -;         -;    3.8688;    1.0519;         1;        ok;
