======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              30 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;  bisim-up;bisim-up-cached;  congr-up;congr-up-cached;      '<=';
     A0056;     A0057;    0.0263;    0.0152;    0.0199;    0.0208;    0.0132;         0;        ok;
     A0056;     A0058;    0.0332;    0.0173;    0.0215;    0.0170;    0.0211;         0;        ok;
     A0056;     A0059;    0.0403;    0.0166;    0.0148;    0.0163;    0.0211;         0;        ok;
     A0056;     A0060;    0.0141;    0.0232;    0.0190;    0.0223;    0.0132;         0;        ok;
     A0056;     A0062;    0.0159;    0.0230;    0.0139;    0.0256;    0.0221;         0;        ok;
     A0056;     A0063;    0.0179;    0.0229;    0.0254;    0.0315;    0.0282;         0;        ok;
     A0056;     A0064;    0.0112;    0.0214;    0.0298;    0.0325;    0.0217;         0;        ok;
     A0056;     A0065;    0.0162;    0.0316;    0.0208;    0.0221;    0.0295;         0;        ok;
     A0056;     A0070;    0.0197;    0.0309;    0.0299;    0.0328;    0.0267;         0;        ok;
     A0056;     A0080;    0.0167;    0.0286;    0.0285;    0.0409;    0.0358;         0;        ok;
     A0056;     A0082;    0.0233;    0.0467;    0.0387;    0.0365;    0.0419;         0;        ok;
     A0056;     A0083;    0.0220;    0.0421;    0.0355;    0.0385;    0.0366;         0;        ok;
     A0056;     A0086;    0.0342;    0.0590;    0.0525;    0.0562;    0.0410;         0;        ok;
     A0056;     A0087;    0.0197;    0.0457;    0.0373;    0.0395;    0.0403;         0;        ok;
     A0056;     A0088;    0.0266;    0.0333;    0.0326;    0.0350;    0.0371;         0;        ok;
     A0056;     A0089;    0.0263;    0.0442;    0.0361;    0.0337;    0.0288;         0;        ok;
     A0057;     A0053;    0.0111;    0.0191;    0.0114;    0.0186;    0.0169;         0;        ok;
     A0057;     A0054;    0.0150;    0.1358;    0.0510;    0.1031;    0.0525;         0;        ok;
     A0057;     A0055;    0.0136;    0.0223;    0.0257;    0.0279;    0.0250;         0;        ok;
     A0057;     A0056;    0.0078;    0.0240;    0.0193;    0.0179;    0.0154;         0;        ok;
     A0057;     A0057;    0.0719;   10.4310;    1.0530;    1.3335;    0.4266;         1;        ok;
     A0057;     A0058;    0.0529;    5.8464;    0.7072;    0.9709;    0.1565;         0;        ok;
     A0057;     A0059;    0.0327;    6.1026;    0.8039;    0.9171;    0.1277;         0;        ok;
     A0057;     A0060;    0.0155;    0.0319;    0.0216;    0.0334;    0.0254;         0;        ok;
     A0057;     A0062;    0.0162;    0.0327;    0.0281;    0.0356;    0.0249;         0;        ok;
     A0057;     A0063;    0.0184;    0.0257;    0.0274;    0.0273;    0.0302;         0;        ok;
     A0057;     A0064;    0.0195;    0.0218;    0.0214;    0.0255;    0.0304;         0;        ok;
     A0057;     A0065;    0.0190;    0.0301;    0.0292;    0.0304;    0.0200;         0;        ok;
     A0057;     A0070;    0.0191;    0.0360;    0.0239;    0.0344;    0.0301;         0;        ok;
     A0057;     A0080;    0.0231;    0.0285;    0.0243;    0.0306;    0.0326;         0;        ok;
     A0057;     A0082;    0.0222;    0.0342;    0.0241;    0.0271;    0.0243;         0;        ok;
     A0057;     A0083;    0.0211;    0.0348;    0.0230;    0.0259;    0.0234;         0;        ok;
     A0057;     A0086;    0.0344;    0.0461;    0.0383;    0.0629;    0.0384;         0;        ok;
     A0057;     A0087;    0.0298;    0.0457;    0.0363;    0.0537;    0.0488;         0;        ok;
     A0057;     A0088;    0.0299;    0.0382;    0.0442;    0.0345;    0.0341;         0;        ok;
     A0057;     A0089;    0.0269;    0.0344;    0.0447;    0.0483;    0.0395;         0;        ok;
     A0058;     A0053;    0.0118;    0.0156;    0.0119;    0.0141;    0.0168;         0;        ok;
     A0058;     A0054;    0.0160;    0.1401;    0.0536;    0.1039;    0.0433;         0;        ok;
     A0058;     A0055;    0.0145;    0.0331;    0.0218;    0.0334;    0.0171;         0;        ok;
     A0058;     A0056;    0.0126;    0.0156;    0.0204;    0.0207;    0.0205;         0;        ok;
     A0058;     A0057;    0.0159;    2.8697;    0.4484;    0.5761;    0.0667;         0;        ok;
     A0058;     A0058;    0.0528;    7.8400;    0.9003;    1.2916;    0.4400;         1;        ok;
     A0058;     A0059;    0.0390;    2.8678;    0.4783;    0.5682;    0.0536;         0;        ok;
     A0058;     A0060;    0.0101;    0.0392;    0.0296;    0.0392;    0.0274;         0;        ok;
     A0058;     A0062;    0.0162;    0.0282;    0.0203;    0.0347;    0.0207;         0;        ok;
     A0058;     A0063;    0.0186;    0.0203;    0.0195;    0.0281;    0.0213;         0;        ok;
     A0058;     A0064;    0.0182;    0.0218;    0.0202;    0.0272;    0.0191;         0;        ok;
     A0058;     A0065;    0.0177;    0.0206;    0.0191;    0.0263;    0.0188;         0;        ok;
     A0058;     A0070;    0.0195;    0.0218;    0.0306;    0.0304;    0.0279;         0;        ok;
     A0058;     A0080;    0.0212;    0.0332;    0.0226;    0.0346;    0.0309;         0;        ok;
     A0058;     A0082;    0.0214;    0.0260;    0.0259;    0.0285;    0.0332;         0;        ok;
     A0058;     A0083;    0.0220;    0.0332;    0.0235;    0.0327;    0.0314;         0;        ok;
     A0058;     A0086;    0.0343;    0.0423;    0.0376;    0.0538;    0.0378;         0;        ok;
     A0058;     A0087;    0.0170;    0.0460;    0.0290;    0.0310;    0.0432;         0;        ok;
     A0058;     A0088;    0.0274;    0.0419;    0.0372;    0.0407;    0.0289;         0;        ok;
     A0058;     A0089;    0.0260;    0.0312;    0.0285;    0.0307;    0.0381;         0;        ok;
     A0059;     A0053;    0.0094;    0.0139;    0.0183;    0.0155;    0.0184;         0;        ok;
     A0059;     A0054;    0.0133;    0.1568;    0.0754;    0.0974;    0.0385;         0;        ok;
     A0059;     A0055;    0.0127;    0.0290;    0.0171;    0.0234;    0.0174;         0;        ok;
     A0059;     A0056;    0.0120;    0.0227;    0.0214;    0.0241;    0.0137;         0;        ok;
     A0059;     A0057;    0.0139;    2.2751;    0.3720;    0.4468;    0.0557;         0;        ok;
     A0059;     A0058;    0.0149;    2.3455;    0.3869;    0.4624;    0.0577;         0;        ok;
     A0059;     A0059;    0.0535;   10.4300;    1.1267;    1.4057;    0.5831;         1;        ok;
     A0059;     A0060;    0.0089;    0.0412;    0.0197;    0.0416;    0.0201;         0;        ok;
     A0059;     A0062;    0.0093;    0.0388;    0.0316;    0.0404;    0.0322;         0;        ok;
     A0059;     A0063;    0.0118;    0.0291;    0.0192;    0.0209;    0.0295;         0;        ok;
     A0059;     A0064;    0.0116;    0.0316;    0.0239;    0.0298;    0.0291;         0;        ok;
     A0059;     A0065;    0.0181;    0.0203;    0.0257;    0.0205;    0.0189;         0;        ok;
     A0059;     A0070;    0.0196;    0.0219;    0.0280;    0.0222;    0.0205;         0;        ok;
     A0059;     A0080;    0.0215;    0.0250;    0.0225;    0.0333;    0.0228;         0;        ok;
     A0059;     A0082;    0.0141;    0.0263;    0.0341;    0.0279;    0.0357;         0;        ok;
     A0059;     A0083;    0.0141;    0.0265;    0.0242;    0.0349;    0.0332;         0;        ok;
     A0059;     A0086;    0.0220;    0.0438;    0.0520;    0.0567;    0.0391;         0;        ok;
     A0059;     A0087;    0.0278;    0.0322;    0.0309;    0.0415;    0.0303;         0;        ok;
     A0059;     A0088;    0.0173;    0.0420;    0.0300;    0.0326;    0.0403;         0;        ok;
     A0059;     A0089;    0.0267;    0.0310;    0.0389;    0.0308;    0.0286;         0;        ok;
     A0060;     A0053;    0.0110;    0.0190;    0.0154;    0.0132;    0.0155;         0;        ok;
     A0060;     A0054;    0.0122;    0.0335;    0.0233;    0.0265;    0.0257;         0;        ok;
     A0060;     A0055;    0.0131;    0.0765;    0.0336;    0.0589;    0.0415;         0;        ok;
     A0060;     A0056;    0.0120;    0.0234;    0.0130;    0.0177;    0.0197;         0;        ok;
     A0060;     A0057;    0.0126;    0.0324;    0.0226;    0.0265;    0.0235;         0;        ok;
     A0060;     A0058;    0.0127;    0.0384;    0.0304;    0.0277;    0.0246;         0;        ok;
     A0060;     A0059;    0.0083;    0.0369;    0.0200;    0.0273;    0.0301;         0;        ok;
     A0060;     A0060;    0.0373;   14.9596;    1.2619;    6.3060;    0.7620;         1;        ok;
     A0060;     A0062;    0.0418;   11.0826;    1.0887;    4.2941;    0.7665;         0;        ok;
     A0060;     A0063;    0.0177;    0.0201;    0.0295;    0.0323;    0.0194;         0;        ok;
     A0060;     A0064;    0.0203;    0.0295;    0.0317;    0.0334;    0.0271;         0;        ok;
     A0060;     A0065;    0.0195;    0.0339;    0.0235;    0.0324;    0.0266;         0;        ok;
     A0060;     A0070;    0.0196;    0.0328;    0.0259;    0.0317;    0.0313;         0;        ok;
     A0060;     A0080;    0.0264;    0.0413;    0.0344;    0.0372;    0.0350;         0;        ok;
     A0060;     A0082;    0.0223;    0.0352;    0.0359;    0.0335;    0.0359;         0;        ok;
     A0060;     A0083;    0.0240;    0.0404;    0.0341;    0.0290;    0.0383;         0;        ok;
     A0060;     A0086;    0.0368;    0.0537;    0.0596;    0.0593;    0.0459;         0;        ok;
     A0060;     A0087;    0.0279;    0.0529;    0.0342;    0.0399;    0.0449;         0;        ok;
     A0060;     A0088;    0.0229;    0.0445;    0.0384;    0.0519;    0.0368;         0;        ok;
     A0060;     A0089;    0.0286;    0.0490;    0.0401;    0.0351;    0.0373;         0;        ok;
     A0062;     A0053;    0.0118;    0.0167;    0.0197;    0.0226;    0.0191;         0;        ok;
     A0062;     A0054;    0.0135;    0.0370;    0.0316;    0.0438;    0.0314;         0;        ok;
     A0062;     A0055;    0.0154;    0.1077;    0.0437;    0.0517;    0.0395;         0;        ok;
     A0062;     A0056;    0.0082;    0.0251;    0.0210;    0.0252;    0.0151;         0;        ok;
     A0062;     A0057;    0.0132;    0.0339;    0.0218;    0.0447;    0.0222;         0;        ok;
     A0062;     A0058;    0.0132;    0.0434;    0.0321;    0.0379;    0.0238;         0;        ok;
     A0062;     A0059;    0.0135;    0.0382;    0.0283;    0.0351;    0.0347;         0;        ok;
     A0062;     A0060;    0.0230;   11.0857;    1.0473;    4.0462;    0.1770;         0;        ok;
     A0062;     A0062;    0.0531;    7.8319;    0.7438;    3.8482;    0.6720;         1;        ok;
     A0062;     A0063;    0.0118;    0.0323;    0.0194;    0.0333;    0.0296;         0;        ok;
     A0062;     A0064;    0.0118;    0.0332;    0.0206;    0.0316;    0.0302;         0;        ok;
     A0062;     A0065;    0.0186;    0.0312;    0.0197;    0.0221;    0.0299;         0;        ok;
     A0062;     A0070;    0.0201;    0.0362;    0.0334;    0.0335;    0.0239;         0;        ok;
     A0062;     A0080;    0.0231;    0.0338;    0.0279;    0.0413;    0.0289;         0;        ok;
     A0062;     A0082;    0.0221;    0.0413;    0.0367;    0.0431;    0.0372;         0;        ok;
     A0062;     A0083;    0.0181;    0.0423;    0.0390;    0.0295;    0.0388;         0;        ok;
     A0062;     A0086;    0.0369;    0.0480;    0.0597;    0.0615;    0.0411;         0;        ok;
     A0062;     A0087;    0.0301;    0.0458;    0.0471;    0.0512;    0.0473;         0;        ok;
     A0062;     A0088;    0.0184;    0.0502;    0.0491;    0.0517;    0.0469;         0;        ok;
     A0062;     A0089;    0.0183;    0.0434;    0.0440;    0.0436;    0.0299;         0;        ok;
     A0063;     A0053;    0.0184;    0.0293;    0.0278;    0.0243;    0.0243;         0;        ok;
     A0063;     A0054;    0.0226;    0.0316;    0.0287;    0.0310;    0.0231;         0;        ok;
     A0063;     A0055;    0.0189;    0.0287;    0.0271;    0.0278;    0.0267;         0;        ok;
     A0063;     A0056;    0.0159;    0.0334;    0.0326;    0.0336;    0.0309;         0;        ok;
     A0063;     A0057;    0.0205;    0.0324;    0.0295;    0.0240;    0.0261;         0;        ok;
     A0063;     A0058;    0.0130;    0.0317;    0.0298;    0.0227;    0.0299;         0;        ok;
     A0063;     A0059;    0.0212;    0.0271;    0.0226;    0.0333;    0.0303;         0;        ok;
     A0063;     A0060;    0.0210;    0.0215;    0.0272;    0.0318;    0.0285;         0;        ok;
     A0063;     A0062;    0.0245;    0.0325;    0.0298;    0.0232;    0.0324;         0;        ok;
     A0063;     A0063;    0.3462;         -;   28.0886;    2.8375;    1.5273;         1;        ok;
     A0063;     A0064;    0.5644;         -;         -;    3.3953;    1.0361;         1;        ok;
     A0063;     A0065;    0.5378;         -;         -;    3.2179;    1.2172;         1;        ok;
     A0063;     A0070;    0.0265;    5.5935;    0.8403;    0.7600;    0.1032;         0;        ok;
     A0063;     A0080;    0.2306;    0.2084;    0.0832;    0.1145;    0.0739;         0;        ok;
     A0063;     A0082;    0.1743;    0.2063;    0.0962;    0.1615;    0.1082;         0;        ok;
     A0063;     A0083;    0.1636;    0.2097;    0.1298;    0.1300;    0.1082;         0;        ok;
     A0063;     A0086;    0.0416;    0.3355;    0.1505;    0.1882;    0.1215;         0;        ok;
