======== Checking equivalence of automata =======
Automata directory:   ../automata-benchmarks/nta/artmc/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
 A0053.tmb;  A667.tmb;    0.0884;    0.0975;    0.1006;         0;        ok;
 A0053.tmb;  A670.tmb;    0.1142;    0.1236;    0.1317;         0;        ok;
 A0053.tmb;  A673.tmb;    0.1185;    0.1247;    0.1367;         0;        ok;
 A0053.tmb;  A676.tmb;    0.1243;    0.1205;    0.1328;         0;        ok;
 A0053.tmb;  A678.tmb;    0.1156;    0.1229;    0.1345;         0;        ok;
 A0053.tmb;  A679.tmb;    0.1144;    0.1197;    0.1390;         0;        ok;
 A0053.tmb;  A689.tmb;    0.1222;    0.1254;    0.1344;         0;        ok;
 A0053.tmb;  A691.tmb;    0.1139;    0.1254;    0.1327;         0;        ok;
 A0053.tmb;  A692.tmb;    0.1169;    0.1226;    0.1339;         0;        ok;
 A0053.tmb;  A693.tmb;    0.1196;    0.1237;    0.1384;         0;        ok;
 A0053.tmb;  A694.tmb;    0.1182;    0.1244;    0.1368;         0;        ok;
 A0053.tmb;  A695.tmb;    0.1152;    0.1255;    0.1397;         0;        ok;
 A0053.tmb;  A700.tmb;    0.1188;    0.1219;    0.1358;         0;        ok;
 A0053.tmb;  A701.tmb;    0.1246;    0.1310;    0.1338;         0;        ok;
 A0053.tmb;  A703.tmb;    0.1207;    0.1259;    0.1365;         0;        ok;
 A0053.tmb;  A723.tmb;    0.1047;    0.1102;    0.1161;         0;        ok;
 A0053.tmb;  A728.tmb;    0.1250;    0.1463;    0.1451;         0;        ok;
 A0053.tmb;  A756.tmb;    0.1000;    0.1042;    0.1113;         0;        ok;
 A0053.tmb;  A837.tmb;    0.1356;    0.1440;    0.1583;         0;        ok;
 A0053.tmb;  A881.tmb;    0.1648;    0.1887;    0.1896;         0;        ok;
 A0053.tmb;  A980.tmb;    0.2239;    0.2561;    0.2568;         0;        ok;
 A0053.tmb;   AF1.tmb;    0.0023;    0.0022;    0.0030;         0;        ok;
 A0053.tmb;   AF2.tmb;    0.0038;    0.0036;    0.0028;         0;        ok;
 A0054.tmb; A0053.tmb;    0.0051;    0.0050;    0.0062;         0;        ok;
 A0054.tmb; A0054.tmb;    0.0302;    0.0302;    0.0327;         1;        ok;
 A0054.tmb; A0055.tmb;    0.0087;    0.0051;    0.0096;         0;        ok;
 A0054.tmb; A0056.tmb;    0.0056;    0.0100;    0.0103;         0;        ok;
 A0054.tmb; A0057.tmb;    0.0093;    0.0103;    0.0069;         0;        ok;
 A0054.tmb; A0058.tmb;    0.0068;    0.0076;    0.0078;         0;        ok;
 A0054.tmb; A0059.tmb;    0.0093;    0.0061;    0.0107;         0;        ok;
 A0054.tmb; A0060.tmb;    0.0064;    0.0063;    0.0077;         0;        ok;
 A0054.tmb; A0062.tmb;    0.0070;    0.0096;    0.0108;         0;        ok;
 A0054.tmb; A0063.tmb;    0.0129;    0.0108;    0.0147;         0;        ok;
 A0054.tmb; A0064.tmb;    0.0088;    0.0155;    0.0105;         0;        ok;
 A0054.tmb; A0065.tmb;    0.0085;    0.0159;    0.0100;         0;        ok;
 A0054.tmb; A0070.tmb;    0.0090;    0.0404;    0.0105;         0;        ok;
 A0054.tmb; A0080.tmb;    0.0099;    0.0100;    0.0115;         0;        ok;
 A0054.tmb; A0082.tmb;    0.0122;    0.0101;    0.0116;         0;        ok;
 A0054.tmb; A0083.tmb;    0.0103;    0.0104;    0.0121;         0;        ok;
 A0054.tmb; A0086.tmb;    0.0165;    0.0169;    0.0184;         0;        ok;
 A0054.tmb; A0087.tmb;    0.0121;    0.0256;    0.0152;         0;        ok;
