======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
     A0057;     A0059;   82.0000;    3.0000;   10.0000;         0;        ok;
     A0057;     A0060;   17.0000;    1.0000;    1.0000;         0;        ok;
     A0057;     A0062;   17.0000;    1.0000;    1.0000;         0;        ok;
     A0057;     A0063;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0057;     A0064;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0057;     A0065;    1.0000;    6.0000;    1.0000;         0;        ok;
     A0057;     A0070;    1.0000;   79.0000;    1.0000;         0;        ok;
     A0057;     A0080;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0057;     A0082;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0057;     A0083;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0057;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0057;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0057;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0057;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0058;     A0053;    1.0000;    1.0000;    1.0000;         0;        ok;
     A0058;     A0054;   18.0000;    3.0000;    3.0000;         0;        ok;
     A0058;     A0055;   20.0000;    1.0000;    1.0000;         0;        ok;
     A0058;     A0056;    1.0000;   74.0000;    1.0000;         0;        ok;
     A0058;     A0057;   20.0000;   97.0000;    6.0000;         0;        ok;
     A0058;     A0058;  163.0000;  163.0000;   24.0000;         1;        ok;
     A0058;     A0059;   86.0000;    8.0000;    6.0000;         0;        ok;
     A0058;     A0060;   18.0000;    1.0000;    1.0000;         0;        ok;
     A0058;     A0062;   18.0000;    1.0000;    1.0000;         0;        ok;
     A0058;     A0063;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0058;     A0064;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0058;     A0065;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0058;     A0070;    1.0000;   82.0000;    1.0000;         0;        ok;
     A0058;     A0080;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0058;     A0082;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0058;     A0083;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0058;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0058;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0058;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0058;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0059;     A0053;    1.0000;    1.0000;    1.0000;         0;        ok;
     A0059;     A0054;    3.0000;    3.0000;    3.0000;         0;        ok;
     A0059;     A0055;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0059;     A0056;    1.0000;   72.0000;    1.0000;         0;        ok;
     A0059;     A0057;    3.0000;   82.0000;    6.0000;         0;        ok;
     A0059;     A0058;    8.0000;   88.0000;    6.0000;         0;        ok;
     A0059;     A0059;  165.0000;  165.0000;   27.0000;         1;        ok;
     A0059;     A0060;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0059;     A0062;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0059;     A0063;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0059;     A0064;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0059;     A0065;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0059;     A0070;    1.0000;   80.0000;    1.0000;         0;        ok;
     A0059;     A0080;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0059;     A0082;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0059;     A0083;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0059;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0059;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0059;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0059;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0060;     A0053;    1.0000;   61.0000;    1.0000;         0;        ok;
     A0060;     A0054;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0060;     A0055;    6.0000;   70.0000;    2.0000;         0;        ok;
     A0060;     A0056;    1.0000;   15.0000;    1.0000;         0;        ok;
     A0060;     A0057;    1.0000;   17.0000;    1.0000;         0;        ok;
     A0060;     A0058;    1.0000;   18.0000;    1.0000;         0;        ok;
     A0060;     A0059;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0060;     A0060;  138.0000;  138.0000;   29.0000;         1;        ok;
     A0060;     A0062;  117.0000;   52.0000;   29.0000;         0;        ok;
     A0060;     A0063;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0060;     A0064;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0060;     A0065;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0060;     A0070;    1.0000;   82.0000;    1.0000;         0;        ok;
     A0060;     A0080;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0060;     A0082;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0060;     A0083;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0060;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0060;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0060;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0060;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0062;     A0053;    1.0000;   55.0000;    1.0000;         0;        ok;
     A0062;     A0054;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0062;     A0055;    6.0000;   64.0000;    2.0000;         0;        ok;
     A0062;     A0056;    1.0000;   14.0000;    1.0000;         0;        ok;
     A0062;     A0057;    1.0000;   17.0000;    1.0000;         0;        ok;
     A0062;     A0058;    1.0000;   18.0000;    1.0000;         0;        ok;
     A0062;     A0059;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0062;     A0060;   52.0000;  117.0000;   10.0000;         0;        ok;
     A0062;     A0062;  150.0000;  150.0000;   28.0000;         1;        ok;
     A0062;     A0063;    1.0000;    7.0000;    1.0000;         0;        ok;
     A0062;     A0064;    1.0000;    6.0000;    1.0000;         0;        ok;
     A0062;     A0065;    1.0000;    6.0000;    1.0000;         0;        ok;
     A0062;     A0070;    1.0000;   88.0000;    1.0000;         0;        ok;
     A0062;     A0080;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0062;     A0082;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0062;     A0083;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0062;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0062;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0062;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0062;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0063;     A0053;    2.0000;    1.0000;    1.0000;         0;        ok;
     A0063;     A0054;    7.0000;    1.0000;    1.0000;         0;        ok;
     A0063;     A0055;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0063;     A0056;    2.0000;    1.0000;    1.0000;         0;        ok;
     A0063;     A0057;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0063;     A0058;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0063;     A0059;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0063;     A0060;    3.0000;    1.0000;    1.0000;         0;        ok;
