======== Checking equivalence of automata =======
Automata directory:   ./tests/fa_timbuk_armc/
Timeout:              5 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
armcNFA_inclTest_1;armcNFA_inclTest_24;    0.0125;    0.0137;    0.0131;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_25;    0.0068;    0.0073;    0.0067;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_26;    0.0129;    0.0144;    0.0132;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_27;    0.0128;    0.0141;    0.0128;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_28;    0.0148;    0.0160;    0.0144;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_29;    0.0124;    0.0139;    0.0128;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_3;    0.0004;    0.0003;    0.0003;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_30;    0.0165;    0.0179;    0.0163;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_31;    0.0147;    0.0160;    0.0150;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_32;    0.0165;    0.0176;    0.0170;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_33;    0.0164;    0.0180;    0.0163;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_34;    0.0167;    0.0180;    0.0161;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_35;    0.0165;    0.0180;    0.0165;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_4;    0.0004;    0.0003;    0.0003;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_5;    0.0003;    0.0004;    0.0003;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_550;    0.0616;    0.0615;    0.0557;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_557;    0.0606;    0.0624;    0.0550;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_6;    0.0005;    0.0007;    0.0007;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_7;    0.0003;    0.0004;    0.0003;         0;        ok;
