======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0058;     A0056;    0.0083;    0.0146;         0;        ok;
     A0058;     A0057;    0.0110;    0.0497;         0;        ok;
     A0058;     A0058;    0.0612;    0.2933;         1;        ok;
     A0058;     A0059;    0.0415;    0.0502;         0;        ok;
     A0058;     A0060;    0.0100;    0.0206;         0;        ok;
     A0058;     A0062;    0.0103;    0.0208;         0;        ok;
     A0058;     A0063;    0.0119;    0.0192;         0;        ok;
     A0058;     A0064;    0.0117;    0.0190;         0;        ok;
     A0058;     A0065;    0.0117;    0.0192;         0;        ok;
     A0058;     A0070;    0.0136;    0.0225;         0;        ok;
     A0058;     A0080;    0.0145;    0.0253;         0;        ok;
     A0058;     A0082;    0.0149;    0.0239;         0;        ok;
     A0058;     A0083;    0.0148;    0.0257;         0;        ok;
     A0058;     A0086;    0.0249;    0.0413;         0;        ok;
     A0058;     A0087;    0.0179;    0.0308;         0;        ok;
     A0058;     A0088;    0.0178;    0.0377;         0;        ok;
     A0058;     A0089;    0.0187;    0.0315;         0;        ok;
     A0059;     A0053;    0.0073;    0.0119;         0;        ok;
     A0059;     A0054;    0.0088;    0.0330;         0;        ok;
     A0059;     A0055;    0.0088;    0.0241;         0;        ok;
     A0059;     A0056;    0.0087;    0.0144;         0;        ok;
     A0059;     A0057;    0.0113;    0.0464;         0;        ok;
     A0059;     A0058;    0.0104;    0.0473;         0;        ok;
     A0059;     A0059;    0.0564;    0.3753;         1;        ok;
     A0059;     A0060;    0.0122;    0.0223;         0;        ok;
     A0059;     A0062;    0.0096;    0.0223;         0;        ok;
     A0059;     A0063;    0.0120;    0.0248;         0;        ok;
     A0059;     A0064;    0.0117;    0.0198;         0;        ok;
     A0059;     A0065;    0.0123;    0.0201;         0;        ok;
     A0059;     A0070;    0.0129;    0.0212;         0;        ok;
     A0059;     A0080;    0.0134;    0.0251;         0;        ok;
     A0059;     A0082;    0.0152;    0.0261;         0;        ok;
     A0059;     A0083;    0.0141;    0.0247;         0;        ok;
     A0059;     A0086;    0.0241;    0.0418;         0;        ok;
     A0059;     A0087;    0.0234;    0.0308;         0;        ok;
     A0059;     A0088;    0.0173;    0.0304;         0;        ok;
     A0059;     A0089;    0.0173;    0.0304;         0;        ok;
     A0060;     A0053;    0.0080;    0.0136;         0;        ok;
     A0060;     A0054;    0.0089;    0.0200;         0;        ok;
     A0060;     A0055;    0.0083;    0.0259;         0;        ok;
     A0060;     A0056;    0.0082;    0.0132;         0;        ok;
     A0060;     A0057;    0.0082;    0.0202;         0;        ok;
     A0060;     A0058;    0.0082;    0.0196;         0;        ok;
     A0060;     A0059;    0.0086;    0.0213;         0;        ok;
     A0060;     A0060;    0.0391;    0.4732;         1;        ok;
     A0060;     A0062;    0.0267;    0.4672;         0;        ok;
     A0060;     A0063;    0.0115;    0.0190;         0;        ok;
     A0060;     A0064;    0.0123;    0.0207;         0;        ok;
     A0060;     A0065;    0.0113;    0.0185;         0;        ok;
     A0060;     A0070;    0.0128;    0.0206;         0;        ok;
     A0060;     A0080;    0.0133;    0.0221;         0;        ok;
     A0060;     A0082;    0.0144;    0.0245;         0;        ok;
     A0060;     A0083;    0.0147;    0.0248;         0;        ok;
     A0060;     A0086;    0.0228;    0.0403;         0;        ok;
     A0060;     A0087;    0.0215;    0.0297;         0;        ok;
     A0060;     A0088;    0.0187;    0.0296;         0;        ok;
     A0060;     A0089;    0.0172;    0.0305;         0;        ok;
     A0062;     A0053;    0.0075;    0.0125;         0;        ok;
     A0062;     A0054;    0.0092;    0.0209;         0;        ok;
     A0062;     A0055;    0.0089;    0.0273;         0;        ok;
     A0062;     A0056;    0.0087;    0.0143;         0;        ok;
     A0062;     A0057;    0.0111;    0.0214;         0;        ok;
     A0062;     A0058;    0.0089;    0.0209;         0;        ok;
     A0062;     A0059;    0.0090;    0.0210;         0;        ok;
     A0062;     A0060;    0.0152;    0.1349;         0;        ok;
     A0062;     A0062;    0.0383;    0.4588;         1;        ok;
     A0062;     A0063;    0.0119;    0.0196;         0;        ok;
     A0062;     A0064;    0.0122;    0.0205;         0;        ok;
     A0062;     A0065;    0.0117;    0.0191;         0;        ok;
     A0062;     A0070;    0.0129;    0.0210;         0;        ok;
     A0062;     A0080;    0.0146;    0.0235;         0;        ok;
     A0062;     A0082;    0.0142;    0.0242;         0;        ok;
     A0062;     A0083;    0.0146;    0.0239;         0;        ok;
     A0062;     A0086;    0.0229;    0.0398;         0;        ok;
     A0062;     A0087;    0.0187;    0.0300;         0;        ok;
     A0062;     A0088;    0.0184;    0.0316;         0;        ok;
     A0062;     A0089;    0.0222;    0.0301;         0;        ok;
     A0063;     A0053;    0.0109;    0.0168;         0;        ok;
     A0063;     A0054;    0.0161;    0.0186;         0;        ok;
     A0063;     A0055;    0.0119;    0.0177;         0;        ok;
     A0063;     A0056;    0.0123;    0.0196;         0;        ok;
     A0063;     A0057;    0.0127;    0.0190;         0;        ok;
     A0063;     A0058;    0.0131;    0.0196;         0;        ok;
     A0063;     A0059;    0.0138;    0.0205;         0;        ok;
     A0063;     A0060;    0.0131;    0.0186;         0;        ok;
     A0063;     A0062;    0.0156;    0.0195;         0;        ok;
     A0063;     A0063;    0.3519;    0.6789;         1;        ok;
     A0063;     A0064;    0.3709;    0.6523;         1;        ok;
     A0063;     A0065;    0.3487;    0.6520;         1;        ok;
     A0063;     A0070;    0.0169;    0.0873;         0;        ok;
     A0063;     A0080;    0.2002;    0.0625;         0;        ok;
     A0063;     A0082;    0.1700;    0.0720;         0;        ok;
     A0063;     A0083;    0.1640;    0.0769;         0;        ok;
     A0063;     A0086;    0.0286;    0.1092;         0;        ok;
     A0063;     A0087;    0.0213;    0.0535;         0;        ok;
     A0063;     A0088;    0.0222;    0.0536;         0;        ok;
     A0063;     A0089;    0.0215;    0.0524;         0;        ok;
     A0064;     A0053;    0.0118;    0.0220;         0;        ok;
     A0064;     A0054;    0.0204;    0.0213;         0;        ok;
     A0064;     A0055;    0.0125;    0.0180;         0;        ok;
     A0064;     A0056;    0.0130;    0.0193;         0;        ok;
     A0064;     A0057;    0.0135;    0.0209;         0;        ok;
     A0064;     A0058;    0.0131;    0.0196;         0;        ok;
     A0064;     A0059;    0.0138;    0.0196;         0;        ok;
     A0064;     A0060;    0.0130;    0.0187;         0;        ok;
     A0064;     A0062;    0.0201;    0.0201;         0;        ok;
     A0064;     A0063;    0.3821;    0.5631;         1;        ok;
     A0064;     A0064;    0.3317;    0.5366;         1;        ok;
     A0064;     A0065;    0.3643;    0.5413;         1;        ok;
     A0064;     A0070;    0.0171;    0.1548;         0;        ok;
     A0064;     A0080;    0.2345;    0.0632;         0;        ok;
     A0064;     A0082;    0.2000;    0.0693;         0;        ok;
     A0064;     A0083;    0.1969;    0.0715;         0;        ok;
     A0064;     A0086;    0.0294;    0.1083;         0;        ok;
     A0064;     A0087;    0.0234;    0.0596;         0;        ok;
     A0064;     A0088;    0.0248;    0.0615;         0;        ok;
     A0064;     A0089;    0.0224;    0.0532;         0;        ok;
     A0065;     A0053;    0.0110;    0.0178;         0;        ok;
     A0065;     A0054;    0.0200;    0.0182;         0;        ok;
     A0065;     A0055;    0.0138;    0.0182;         0;        ok;
     A0065;     A0056;    0.0132;    0.0193;         0;        ok;
     A0065;     A0057;    0.0132;    0.0206;         0;        ok;
     A0065;     A0058;    0.0156;    0.0244;         0;        ok;
     A0065;     A0059;    0.0130;    0.0194;         0;        ok;
     A0065;     A0060;    0.0139;    0.0197;         0;        ok;
     A0065;     A0062;    0.0211;    0.0217;         0;        ok;
     A0065;     A0063;    0.3671;    0.6718;         1;        ok;
     A0065;     A0064;    0.3746;    0.7170;         1;        ok;
     A0065;     A0065;    0.3149;    0.6539;         1;        ok;
     A0065;     A0070;    0.0172;    0.0877;         0;        ok;
     A0065;     A0080;    0.2200;    0.0689;         0;        ok;
     A0065;     A0082;    0.1921;    0.0763;         0;        ok;
     A0065;     A0083;    0.2135;    0.0817;         0;        ok;
     A0065;     A0086;    0.0300;    0.1081;         0;        ok;
     A0065;     A0087;    0.0215;    0.0542;         0;        ok;
     A0065;     A0088;    0.0228;    0.0538;         0;        ok;
     A0065;     A0089;    0.0209;    0.0530;         0;        ok;
     A0070;     A0053;    0.0119;    0.0192;         0;        ok;
     A0070;     A0054;    0.0584;    0.0195;         0;        ok;
     A0070;     A0055;    0.0484;    0.0183;         0;        ok;
     A0070;     A0056;    0.0125;    0.0208;         0;        ok;
     A0070;     A0057;    0.0640;    0.0216;         0;        ok;
     A0070;     A0058;    0.0761;    0.0212;         0;        ok;
     A0070;     A0059;    0.0758;    0.0202;         0;        ok;
     A0070;     A0060;    0.0735;    0.0199;         0;        ok;
     A0070;     A0062;    0.0520;    0.0208;         0;        ok;
     A0070;     A0063;    0.0170;    0.1300;         0;        ok;
     A0070;     A0064;    0.0174;    0.1219;         0;        ok;
     A0070;     A0065;    0.0168;    0.1191;         0;        ok;
     A0070;     A0070;    0.2986;    0.5447;         1;        ok;
     A0070;     A0080;    0.0191;    0.0689;         0;        ok;
     A0070;     A0082;    0.0197;    0.0730;         0;        ok;
     A0070;     A0083;    0.0189;    0.0743;         0;        ok;
     A0070;     A0086;    0.1504;    0.1142;         0;        ok;
     A0070;     A0087;    0.0231;    0.0616;         0;        ok;
     A0070;     A0088;    0.0234;    0.0584;         0;        ok;
     A0070;     A0089;    0.0228;    0.0556;         0;        ok;
