======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0058;     A0056;    0.0079;    0.0136;         0;        ok;
     A0058;     A0057;    0.0102;    0.0543;         0;        ok;
     A0058;     A0058;    0.0525;    0.4117;         1;        ok;
     A0058;     A0059;    0.0336;    0.0504;         0;        ok;
     A0058;     A0060;    0.0099;    0.0197;         0;        ok;
     A0058;     A0062;    0.0119;    0.0223;         0;        ok;
     A0058;     A0063;    0.0116;    0.0189;         0;        ok;
     A0058;     A0064;    0.0117;    0.0190;         0;        ok;
     A0058;     A0065;    0.0115;    0.0186;         0;        ok;
     A0058;     A0070;    0.0123;    0.0201;         0;        ok;
     A0058;     A0080;    0.0134;    0.0223;         0;        ok;
     A0058;     A0082;    0.0139;    0.0233;         0;        ok;
     A0058;     A0083;    0.0140;    0.0233;         0;        ok;
     A0058;     A0086;    0.0221;    0.0385;         0;        ok;
     A0058;     A0087;    0.0172;    0.0290;         0;        ok;
     A0058;     A0088;    0.0172;    0.0291;         0;        ok;
     A0058;     A0089;    0.0170;    0.0303;         0;        ok;
     A0059;     A0053;    0.0072;    0.0120;         0;        ok;
     A0059;     A0054;    0.0087;    0.0338;         0;        ok;
     A0059;     A0055;    0.0082;    0.0174;         0;        ok;
     A0059;     A0056;    0.0079;    0.0138;         0;        ok;
     A0059;     A0057;    0.0088;    0.0500;         0;        ok;
     A0059;     A0058;    0.0099;    0.0638;         0;        ok;
     A0059;     A0059;    0.0713;    0.5928;         1;        ok;
     A0059;     A0060;    0.0097;    0.0217;         0;        ok;
     A0059;     A0062;    0.0100;    0.0259;         0;        ok;
     A0059;     A0063;    0.0137;    0.0217;         0;        ok;
     A0059;     A0064;    0.0121;    0.0199;         0;        ok;
     A0059;     A0065;    0.0122;    0.0200;         0;        ok;
     A0059;     A0070;    0.0136;    0.0210;         0;        ok;
     A0059;     A0080;    0.0141;    0.0242;         0;        ok;
     A0059;     A0082;    0.0154;    0.0252;         0;        ok;
