all;0.4925;0.5075;0.0

0;0.4945945945945946;0.5054054054054054;0.0

1;0.4666666666666667;0.5333333333333333;0.0

all;0.0051;0.0055;
all;0.0068;0.0069;
all;0.0075;0.0077;
all;0.0092;0.0098;
all;0.0103;0.0115;
all;0.0126;0.0137;
all;0.0146;0.0181;
all;0.0186;0.0225;
all;0.0243;0.0431;
all;0.1676;0.0883;
0;0.0051;0.0051;
0;0.0067;0.0068;
0;0.0073;0.0074;
0;0.0085;0.0089;
0;0.0102;0.0106;
0;0.0115;0.013;
0;0.0136;0.0158;
0;0.0164;0.0192;
0;0.0198;0.0254;
0;0.023;0.0327;
1;0.0265;0.0675;
1;0.0299;0.0734;
1;0.1602;0.0741;
1;0.1986;0.0829;
1;0.209;0.0996;
1;0.2238;0.1113;
1;0.235;0.2139;
1;0.4347;0.2337;
1;0.815;0.2589;
1;0.9709;0.2709;
