======== Checking equivalence of automata =======
Automata directory:   ./tests/aut_timbuk_smaller
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
     A0057;     A0059;    0.0265;    0.0099;    0.0073;         0;        ok;
     A0057;     A0060;    0.0069;    0.0084;    0.0090;         0;        ok;
     A0057;     A0062;    0.0077;    0.0063;    0.0077;         0;        ok;
     A0057;     A0063;    0.0086;    0.0119;    0.0101;         0;        ok;
     A0057;     A0064;    0.0088;    0.0096;    0.0106;         0;        ok;
     A0057;     A0065;    0.0087;    0.0144;    0.0131;         0;        ok;
     A0057;     A0070;    0.0095;    0.0431;    0.0107;         0;        ok;
     A0057;     A0080;    0.0151;    0.0151;    0.0117;         0;        ok;
     A0057;     A0082;    0.0152;    0.0104;    0.0120;         0;        ok;
     A0057;     A0083;    0.0106;    0.0108;    0.0123;         0;        ok;
     A0057;     A0086;    0.0257;    0.0252;    0.0203;         0;        ok;
     A0057;     A0087;    0.0127;    0.0421;    0.0230;         0;        ok;
     A0057;     A0088;    0.0130;    0.0244;    0.0225;         0;        ok;
     A0057;     A0089;    0.0193;    0.0188;    0.0226;         0;        ok;
     A0058;     A0053;    0.0083;    0.0077;    0.0098;         0;        ok;
     A0058;     A0054;    0.0110;    0.0093;    0.0075;         0;        ok;
     A0058;     A0055;    0.0103;    0.0085;    0.0067;         0;        ok;
     A0058;     A0056;    0.0092;    0.0328;    0.0099;         0;        ok;
     A0058;     A0057;    0.0126;    0.0312;    0.0072;         0;        ok;
     A0058;     A0058;    0.0519;    0.0484;    0.0611;         1;        ok;
     A0058;     A0059;    0.0306;    0.0114;    0.0077;         0;        ok;
     A0058;     A0060;    0.0115;    0.0092;    0.0086;         0;        ok;
     A0058;     A0062;    0.0121;    0.0065;    0.0087;         0;        ok;
     A0058;     A0063;    0.0133;    0.0148;    0.0157;         0;        ok;
     A0058;     A0064;    0.0135;    0.0148;    0.0157;         0;        ok;
     A0058;     A0065;    0.0134;    0.0138;    0.0157;         0;        ok;
     A0058;     A0070;    0.0144;    0.0519;    0.0166;         0;        ok;
     A0058;     A0080;    0.0103;    0.0160;    0.0165;         0;        ok;
     A0058;     A0082;    0.0161;    0.0156;    0.0129;         0;        ok;
     A0058;     A0083;    0.0172;    0.0164;    0.0191;         0;        ok;
     A0058;     A0086;    0.0205;    0.0184;    0.0270;         0;        ok;
     A0058;     A0087;    0.0206;    0.0436;    0.0233;         0;        ok;
     A0058;     A0088;    0.0205;    0.0242;    0.0229;         0;        ok;
     A0058;     A0089;    0.0196;    0.0214;    0.0211;         0;        ok;
     A0059;     A0053;    0.0083;    0.0078;    0.0098;         0;        ok;
     A0059;     A0054;    0.0101;    0.0096;    0.0075;         0;        ok;
     A0059;     A0055;    0.0094;    0.0085;    0.0071;         0;        ok;
     A0059;     A0056;    0.0087;    0.0337;    0.0075;         0;        ok;
     A0059;     A0057;    0.0101;    0.0258;    0.0111;         0;        ok;
     A0059;     A0058;    0.0105;    0.0392;    0.0113;         0;        ok;
     A0059;     A0059;    0.0637;    0.0647;    0.0940;         1;        ok;
     A0059;     A0060;    0.0107;    0.0092;    0.0115;         0;        ok;
     A0059;     A0062;    0.0110;    0.0095;    0.0118;         0;        ok;
     A0059;     A0063;    0.0088;    0.0105;    0.0112;         0;        ok;
     A0059;     A0064;    0.0088;    0.0099;    0.0103;         0;        ok;
     A0059;     A0065;    0.0089;    0.0100;    0.0103;         0;        ok;
     A0059;     A0070;    0.0094;    0.0610;    0.0166;         0;        ok;
     A0059;     A0080;    0.0102;    0.0152;    0.0180;         0;        ok;
     A0059;     A0082;    0.0155;    0.0107;    0.0124;         0;        ok;
     A0059;     A0083;    0.0156;    0.0111;    0.0164;         0;        ok;
     A0059;     A0086;    0.0267;    0.0201;    0.0300;         0;        ok;
     A0059;     A0087;    0.0188;    0.0388;    0.0230;         0;        ok;
     A0059;     A0088;    0.0159;    0.0251;    0.0214;         0;        ok;
     A0059;     A0089;    0.0203;    0.0215;    0.0218;         0;        ok;
     A0060;     A0053;    0.0080;    0.0217;    0.0095;         0;        ok;
     A0060;     A0054;    0.0061;    0.0062;    0.0072;         0;        ok;
     A0060;     A0055;    0.0084;    0.0158;    0.0092;         0;        ok;
     A0060;     A0056;    0.0088;    0.0094;    0.0071;         0;        ok;
     A0060;     A0057;    0.0060;    0.0068;    0.0078;         0;        ok;
     A0060;     A0058;    0.0062;    0.0073;    0.0075;         0;        ok;
     A0060;     A0059;    0.0062;    0.0093;    0.0074;         0;        ok;
     A0060;     A0060;    0.0287;    0.0449;    0.0866;         1;        ok;
     A0060;     A0062;    0.0283;    0.0161;    0.0175;         0;        ok;
     A0060;     A0063;    0.0087;    0.0097;    0.0155;         0;        ok;
     A0060;     A0064;    0.0088;    0.0102;    0.0104;         0;        ok;
     A0060;     A0065;    0.0130;    0.0108;    0.0116;         0;        ok;
     A0060;     A0070;    0.0093;    0.0466;    0.0116;         0;        ok;
     A0060;     A0080;    0.0143;    0.0108;    0.0160;         0;        ok;
     A0060;     A0082;    0.0106;    0.0168;    0.0120;         0;        ok;
     A0060;     A0083;    0.0107;    0.0167;    0.0175;         0;        ok;
     A0060;     A0086;    0.0181;    0.0196;    0.0243;         0;        ok;
     A0060;     A0087;    0.0208;    0.0326;    0.0174;         0;        ok;
     A0060;     A0088;    0.0200;    0.0240;    0.0230;         0;        ok;
     A0060;     A0089;    0.0194;    0.0211;    0.0160;         0;        ok;
     A0062;     A0053;    0.0056;    0.0175;    0.0099;         0;        ok;
     A0062;     A0054;    0.0093;    0.0102;    0.0114;         0;        ok;
     A0062;     A0055;    0.0106;    0.0204;    0.0074;         0;        ok;
     A0062;     A0056;    0.0061;    0.0072;    0.0075;         0;        ok;
     A0062;     A0057;    0.0094;    0.0075;    0.0112;         0;        ok;
     A0062;     A0058;    0.0098;    0.0093;    0.0114;         0;        ok;
     A0062;     A0059;    0.0066;    0.0068;    0.0120;         0;        ok;
     A0062;     A0060;    0.0175;    0.0232;    0.0121;         0;        ok;
     A0062;     A0062;    0.0289;    0.0288;    0.0438;         1;        ok;
     A0062;     A0063;    0.0146;    0.0177;    0.0111;         0;        ok;
     A0062;     A0064;    0.0138;    0.0145;    0.0156;         0;        ok;
     A0062;     A0065;    0.0089;    0.0152;    0.0110;         0;        ok;
     A0062;     A0070;    0.0095;    0.0389;    0.0115;         0;        ok;
     A0062;     A0080;    0.0159;    0.0161;    0.0121;         0;        ok;
     A0062;     A0082;    0.0163;    0.0111;    0.0190;         0;        ok;
     A0062;     A0083;    0.0110;    0.0119;    0.0140;         0;        ok;
     A0062;     A0086;    0.0181;    0.0217;    0.0273;         0;        ok;
     A0062;     A0087;    0.0212;    0.0328;    0.0159;         0;        ok;
     A0062;     A0088;    0.0212;    0.0245;    0.0158;         0;        ok;
     A0062;     A0089;    0.0131;    0.0219;    0.0242;         0;        ok;
     A0063;     A0053;    0.0087;    0.0093;    0.0103;         0;        ok;
     A0063;     A0054;    0.0159;    0.0130;    0.0101;         0;        ok;
     A0063;     A0055;    0.0096;    0.0125;    0.0143;         0;        ok;
     A0063;     A0056;    0.0114;    0.0101;    0.0105;         0;        ok;
     A0063;     A0057;    0.0149;    0.0137;    0.0155;         0;        ok;
     A0063;     A0058;    0.0144;    0.0126;    0.0137;         0;        ok;
     A0063;     A0059;    0.0099;    0.0090;    0.0104;         0;        ok;
     A0063;     A0060;    0.0149;    0.0089;    0.0156;         0;        ok;
     A0063;     A0062;    0.0117;    0.0136;    0.0152;         0;        ok;
     A0063;     A0063;    0.2828;    0.2526;    0.2596;         1;        ok;
     A0063;     A0064;    0.3005;    0.2991;    0.3666;         1;        ok;
     A0063;     A0065;    0.2839;    0.2703;    0.3595;         1;        ok;
     A0063;     A0070;    0.0193;    0.0128;    0.0232;         0;        ok;
     A0063;     A0080;    0.1541;    0.0194;    0.0230;         0;        ok;
     A0063;     A0082;    0.1471;    0.0134;    0.0235;         0;        ok;
     A0063;     A0083;    0.1316;    0.0204;    0.0242;         0;        ok;
     A0063;     A0086;    0.0316;    0.0215;    0.0339;         0;        ok;
     A0063;     A0087;    0.0238;    0.0713;    0.0184;         0;        ok;
     A0063;     A0088;    0.0208;    0.0301;    0.0275;         0;        ok;
     A0063;     A0089;    0.0180;    0.0302;    0.0252;         0;        ok;
     A0064;     A0053;    0.0123;    0.0120;    0.0147;         0;        ok;
     A0064;     A0054;    0.0205;    0.0128;    0.0157;         0;        ok;
     A0064;     A0055;    0.0145;    0.0112;    0.0147;         0;        ok;
     A0064;     A0056;    0.0134;    0.0129;    0.0144;         0;        ok;
     A0064;     A0057;    0.0147;    0.0133;    0.0157;         0;        ok;
     A0064;     A0058;    0.0151;    0.0145;    0.0136;         0;        ok;
     A0064;     A0059;    0.0151;    0.0133;    0.0154;         0;        ok;
     A0064;     A0060;    0.0099;    0.0134;    0.0159;         0;        ok;
     A0064;     A0062;    0.0186;    0.0134;    0.0162;         0;        ok;
     A0064;     A0063;    0.4224;    0.2841;    0.4363;         1;        ok;
     A0064;     A0064;    0.3933;    0.4078;    0.3779;         1;        ok;
     A0064;     A0065;    0.3181;    0.3166;    0.4558;         1;        ok;
     A0064;     A0070;    0.0203;    0.0195;    0.0150;         0;        ok;
     A0064;     A0080;    0.1856;    0.0132;    0.0231;         0;        ok;
     A0064;     A0082;    0.1679;    0.0205;    0.0242;         0;        ok;
     A0064;     A0083;    0.1610;    0.0135;    0.0238;         0;        ok;
     A0064;     A0086;    0.0321;    0.0201;    0.0331;         0;        ok;
     A0064;     A0087;    0.0246;    0.0841;    0.0275;         0;        ok;
     A0064;     A0088;    0.0246;    0.0199;    0.0276;         0;        ok;
     A0064;     A0089;    0.0237;    0.0267;    0.0296;         0;        ok;
     A0065;     A0053;    0.0134;    0.0124;    0.0102;         0;        ok;
     A0065;     A0054;    0.0233;    0.0125;    0.0152;         0;        ok;
     A0065;     A0055;    0.0137;    0.0124;    0.0143;         0;        ok;
     A0065;     A0056;    0.0088;    0.0127;    0.0148;         0;        ok;
     A0065;     A0057;    0.0141;    0.0132;    0.0152;         0;        ok;
     A0065;     A0058;    0.0148;    0.0133;    0.0153;         0;        ok;
     A0065;     A0059;    0.0151;    0.0132;    0.0159;         0;        ok;
     A0065;     A0060;    0.0149;    0.0131;    0.0102;         0;        ok;
     A0065;     A0062;    0.0229;    0.0135;    0.0161;         0;        ok;
     A0065;     A0063;    0.3974;    0.4033;    0.4178;         1;        ok;
     A0065;     A0064;    0.3387;    0.3196;    0.4378;         1;        ok;
     A0065;     A0065;    0.3383;    0.2895;    0.2410;         1;        ok;
     A0065;     A0070;    0.0195;    0.0189;    0.0149;         0;        ok;
     A0065;     A0080;    0.1571;    0.0128;    0.0236;         0;        ok;
     A0065;     A0082;    0.1389;    0.0137;    0.0154;         0;        ok;
     A0065;     A0083;    0.1641;    0.0133;    0.0162;         0;        ok;
     A0065;     A0086;    0.0322;    0.0320;    0.0339;         0;        ok;
     A0065;     A0087;    0.0251;    0.0685;    0.0271;         0;        ok;
     A0065;     A0088;    0.0246;    0.0201;    0.0272;         0;        ok;
     A0065;     A0089;    0.0159;    0.0253;    0.0271;         0;        ok;
     A0070;     A0053;    0.0089;    0.0083;    0.0101;         0;        ok;
     A0070;     A0054;    0.0485;    0.0090;    0.0165;         0;        ok;
     A0070;     A0055;    0.0406;    0.0134;    0.0152;         0;        ok;
     A0070;     A0056;    0.0098;    0.0090;    0.0107;         0;        ok;
     A0070;     A0057;    0.0523;    0.0093;    0.0109;         0;        ok;
     A0070;     A0058;    0.0615;    0.0141;    0.0109;         0;        ok;
     A0070;     A0059;    0.0574;    0.0140;    0.0111;         0;        ok;
     A0070;     A0060;    0.0581;    0.0092;    0.0163;         0;        ok;
     A0070;     A0062;    0.0454;    0.0142;    0.0172;         0;        ok;
     A0070;     A0063;    0.0197;    0.0177;    0.0223;         0;        ok;
     A0070;     A0064;    0.0186;    0.0128;    0.0228;         0;        ok;
     A0070;     A0065;    0.0135;    0.0141;    0.0148;         0;        ok;
     A0070;     A0070;    0.2428;    0.2324;    0.0866;         1;        ok;
     A0070;     A0080;    0.0138;    0.0133;    0.0164;         0;        ok;
     A0070;     A0082;    0.0144;    0.0139;    0.0163;         0;        ok;
     A0070;     A0083;    0.0146;    0.0162;    0.0192;         0;        ok;
     A0070;     A0086;    0.1071;    0.0204;    0.0230;         0;        ok;
     A0070;     A0087;    0.0224;    0.0822;    0.0249;         0;        ok;
     A0070;     A0088;    0.0196;    0.0368;    0.0460;         0;        ok;
     A0070;     A0089;    0.0256;    0.0171;    0.0284;         0;        ok;
     A0080;     A0053;    0.0098;    0.0123;    0.0163;         0;        ok;
     A0080;     A0054;    0.0159;    0.0151;    0.0115;         0;        ok;
     A0080;     A0055;    0.0159;    0.0131;    0.0167;         0;        ok;
     A0080;     A0056;    0.0158;    0.0151;    0.0171;         0;        ok;
     A0080;     A0057;    0.0152;    0.0149;    0.0133;         0;        ok;
     A0080;     A0058;    0.0159;    0.0100;    0.0175;         0;        ok;
     A0080;     A0059;    0.0148;    0.0151;    0.0180;         0;        ok;
     A0080;     A0060;    0.0169;    0.0148;    0.0179;         0;        ok;
     A0080;     A0062;    0.0163;    0.0154;    0.0163;         0;        ok;
     A0080;     A0063;    0.0199;    0.1601;    0.0226;         0;        ok;
     A0080;     A0064;    0.0193;    0.1736;    0.0229;         0;        ok;
     A0080;     A0065;    0.0156;    0.1864;    0.0231;         0;        ok;
     A0080;     A0070;    0.0134;    0.0136;    0.0162;         0;        ok;
     A0080;     A0080;    0.2049;    0.1947;    0.3318;         1;        ok;
     A0080;     A0082;    0.0998;    0.0157;    0.0185;         0;        ok;
     A0080;     A0083;    0.1046;    0.0190;    0.0220;         0;        ok;
     A0080;     A0086;    0.0222;    0.0217;    0.0244;         0;        ok;
     A0080;     A0087;    0.0171;    0.0588;    0.0199;         0;        ok;
     A0080;     A0088;    0.0173;    0.0206;    0.0201;         0;        ok;
     A0080;     A0089;    0.0176;    0.0182;    0.0205;         0;        ok;
     A0082;     A0053;    0.0101;    0.0143;    0.0135;         0;        ok;
     A0082;     A0054;    0.0107;    0.0101;    0.0171;         0;        ok;
     A0082;     A0055;    0.0122;    0.0111;    0.0113;         0;        ok;
     A0082;     A0056;    0.0105;    0.0100;    0.0151;         0;        ok;
     A0082;     A0057;    0.0106;    0.0102;    0.0177;         0;        ok;
     A0082;     A0058;    0.0108;    0.0103;    0.0124;         0;        ok;
     A0082;     A0059;    0.0122;    0.0105;    0.0123;         0;        ok;
     A0082;     A0060;    0.0116;    0.0150;    0.0121;         0;        ok;
     A0082;     A0062;    0.0115;    0.0107;    0.0124;         0;        ok;
     A0082;     A0063;    0.0134;    0.1165;    0.0155;         0;        ok;
     A0082;     A0064;    0.0139;    0.1479;    0.0174;         0;        ok;
     A0082;     A0065;    0.0158;    0.1442;    0.0191;         0;        ok;
     A0082;     A0070;    0.0139;    0.0143;    0.0172;         0;        ok;
     A0082;     A0080;    0.0164;    0.1027;    0.0181;         0;        ok;
     A0082;     A0082;    0.2538;    0.2563;    0.3639;         1;        ok;
     A0082;     A0083;    0.2624;    0.3410;    0.3957;         1;        ok;
     A0082;     A0086;    0.0346;    0.0258;    0.0359;         0;        ok;
     A0082;     A0087;    0.0267;    0.3686;    0.0309;         0;        ok;
     A0082;     A0088;    0.0182;    0.3259;    0.0265;         0;        ok;
     A0082;     A0089;    0.0270;    0.2900;    0.0261;         0;        ok;
     A0083;     A0053;    0.0146;    0.0094;    0.0113;         0;        ok;
